date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2001-01-15,Kara,Kozah,Kara,2664,9.55,1.19,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,313,0.74
2001-01-15,Kara,Kozah,Kara,2664,9.55,1.19,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,80,0.19
2001-01-15,Maritime,Golfe,Lomé,2662,6.12,1.23,cereals and tubers,Cassava meal (gari),403,KG,actual,Retail,XOF,257,0.61
2001-01-15,Maritime,Golfe,Lomé,2662,6.12,1.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,346,0.82
2001-01-15,Maritime,Vo,Amegnran,2660,6.47,1.57,cereals and tubers,Cassava meal (gari),403,KG,actual,Retail,XOF,85,0.2
2001-01-15,Plateaux,Ogou,Anie,2663,7.76,1.19,cereals and tubers,Cassava meal (gari),403,KG,actual,Retail,XOF,152,0.36
2001-01-15,Plateaux,Ogou,Anie,2663,7.76,1.19,cereals and tubers,Maize (white),67,KG,actual,Retail,XOF,76,0.18
2001-01-15,Plateaux,Ogou,Anie,2663,7.76,1.19,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,305,0.73
2001-01-15,Plateaux,Ogou,Anie,2663,7.76,1.19,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,68,0.16
2001-01-15,Savanes,Oti,Cinkassé,2661,10.32,0.36,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,235,0.56
2001-01-15,Savanes,Oti,Cinkassé,2661,10.32,0.36,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,108,0.26
2001-01-15,Savanes,Tone,Korbongou,2659,10.94,0.3,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,273,0.65
2001-01-15,Savanes,Tone,Korbongou,2659,10.94,0.3,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,107,0.25
